symbol,timestamp,price,rsi,macd,macd_signal,ema_trend,bollinger_pos,momentum,volatility,volume_relative_%,sentiment_score,signal
BTC-USDT,2025-05-15 18:00:00,102953.7,50.122932482025305,-32.63646115928714,-204.9519503115542,0,0.586303294536452,0.8022770019474301,0.00978064952977098,96.94554391068027,0.0,NEUTRO
ETH-USDT,2025-05-15 18:00:00,2521.26,42.69986901518261,-13.007667325114653,-13.454169927028572,0,0.15030783062226538,-0.3911250177783956,0.019697346729291687,151.2200848951504,0.0,NEUTRO
SOL-USDT,2025-05-15 18:00:00,169.398,39.2446570740637,-1.4994593193952142,-1.6191777918551495,0,0.153464094998245,-0.1873718447288482,0.021556056142782887,114.07746666805001,0.0,LONG
XRP-USDT,2025-05-15 18:00:00,2.43226,37.801334041699754,-0.02502095013273653,-0.02395151539500367,0,0.11522791776301476,-0.6478440599317021,0.020782002351160345,122.92850533080176,0.0,NEUTRO
ADA-USDT,2025-05-15 18:00:00,0.7625,40.659963116532545,-0.008266534890743804,-0.009098413902501082,0,0.17678575190427154,0.05248655032147434,0.02940427698574344,123.13870589936163,0.0,NEUTRO
DOGE-USDT,2025-05-15 18:00:00,0.22031,40.314417595712804,-0.0026255429152656495,-0.0024346615182097753,0,0.09866679954848469,-0.9263839546701471,0.02831561769505575,97.5990172643743,0.0,NEUTRO
DOT-USDT,2025-05-15 18:00:00,4.7614,39.224807185019586,-0.053128652397975706,-0.06191309383324242,0,0.21200032907121852,-0.08813160987073992,0.0258802348656888,142.00711607895647,0.0,NEUTRO
TRX-USDT,2025-05-15 18:00:00,0.2731,51.341513873878455,2.9746038501532457e-05,-0.0004445629071971911,1,0.6112836238099083,0.8493353028065082,0.00978970268310364,79.45303126897988,0.0,NEUTRO
LTC-USDT,2025-05-15 18:00:00,97.569,42.96735138957591,-0.705922944965991,-0.8748740662373927,0,0.31061554343567516,0.6135665229855414,0.018953486033744138,100.86141748606401,0.0,NEUTRO
AVAX-USDT,2025-05-15 18:00:00,23.313,36.75645859004976,-0.3900825466210698,-0.39170508966067924,0,0.10607769574704355,-1.1909807578197946,0.02545773764735393,49.99537865555691,0.0,NEUTRO
UNI-USDT,2025-05-15 18:00:00,6.23,37.395535383435295,-0.09484279469981072,-0.09525357084184753,0,0.09752985414650218,-0.8955983646978246,0.02662333604149736,51.539218389651545,0.0,NEUTRO
BCH-USDT,2025-05-15 18:00:00,389.6,40.99536342747186,-2.8345469309251143,-3.245010629527892,0,0.23719984665332808,0.283140283140289,0.018540910923014797,122.81435339571942,0.0,NEUTRO
LINK-USDT,2025-05-15 18:00:00,16.0776,39.27564371071058,-0.16739824354426602,-0.17287987444936956,0,0.15197057770425096,-0.3273322422258672,0.02852619684948976,123.82258277122615,0.0,NEUTRO
